"Código","Nome","Valor hora","Data","Entrada","Saída","Almoço"
"1","João da Silva","R$ 110, 97","4/1/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/2/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/3/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/4/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/5/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/6/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/7/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/8/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/9/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/10/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/11/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/12/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/13/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/14/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/15/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/16/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/17/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/18/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/19/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/20/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/21/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/22/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/23/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/24/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/25/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/26/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/27/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/28/2022","08:00:00","18:00:00","12:00 - 13:00"
"1","João da Silva","R$ 110, 97","4/29/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 97","4/1/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 98","4/2/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 99","4/3/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 100","4/4/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 101","4/5/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 102","4/6/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 103","4/7/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 104","4/8/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 105","4/9/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 106","4/10/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 107","4/11/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 108","4/12/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 109","4/13/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 110","4/14/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 111","4/15/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 112","4/16/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 113","4/17/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 114","4/18/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 115","4/19/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 116","4/20/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 117","4/21/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 118","4/22/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 119","4/23/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 120","4/24/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 121","4/25/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 122","4/26/2022","08:00:00","18:00:00","12:00 - 13:00"
"2","Vinicius Favorito","R$ 120, 123","4/27/2022","08:00:00","18:00:00","12:00 - 13:00"
